,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
206853,115-2019-2020-Q1-08040,METEX HEAT TREATING LTD,BRAMPTON | BRAMPTON,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",ENERGY MANAGEMENT INFORMATION SYSTEM AT WESTWYN COURT FACILITY,18-13-I-EG-E,40000,6/27/19,5/31/20,This project is to support the implementation of energy management systems and processes to reduce energy costs and improve energy performance.,The expected results are accelerated adoption of energy management practices in the industrial sector.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206852,115-2019-2020-Q1-08016,YUNESIT'IN GOVERNMENT,HANCEVILLE | HANCEVILLE,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",ISO 50001 ENERGY MANAGEMENT SYSTEM - Yunesit'in Government,18-B-02-DK-I,41500,12/20/18,10/31/19,"The purpose of the agreement is to support the implementation of energy management systems and processes at the facility in Hanceville, British Columbia to reduce energy costs and improve energy performance.","The expected results are improved energy performance in new and existing commercial and residential buildings across Canada, including in northern and remote communities.",Amendment: Duration of agreement / Award previously disclosed for the 3rd Quarter of 2018-2019.,Natural Resources Canada | Ressources naturelles Canada
206568,115-2018-2019-Q4-07523,OPEN GREEN BUILDING SOCIETY,VANCOUVER | VANCOUVER,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",BUILDING ENERGY LABELLING AND DISCLOSURE SUPPORT,18-B09-JC-BL,246525,2/15/19,10/31/19,"The purpose of the agreement is to support the development of an online database platform that will support energy benchmarking, labelling and disclosure programs for commercial and institutional buildings to reduce greenhouse gas emissions and energy costs and improve energy performance.","The expected results are improved energy performance in new and existing commercial and residential buildings across Canada, including in northern and remote communities.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206569,115-2018-2019-Q4-07655,THE FEDERATION OF CANADIAN MUNICIPALITIES,OTTAWA | OTTAWA,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",SCOPING STUDY TO LEVERAGE A TOOL FOR CANADIAN MUNICIPALITIES,18-B16-DC-BL,75000,3/1/19,11/29/19,The purpose of this agreement is to explore the possibility of an improved/expanded version of Environmental Insights Explorer (EIE) in Canada to help reduce energy costs and improve energy performance.,"The expected results are improved energy performance in new and existing commercial and residential buildings across Canada, including in northern and remote communities.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206851,115-2019-2020-Q1-07980,KRONOS CANADA INC,VARENNES | VARENNES,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",PROCESS INTEGRATION STUDY AT KRONOS,18-05-EG-PI,40000,10/15/18,2/1/20,"The purpose of this agreement is to support the implementation of a process integration study at the facility in Varennes, Quebec to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,Amendment: Duration of agreement / Award previously disclosed for the 3rd Quarter of 2018-2019.,Natural Resources Canada | Ressources naturelles Canada
206858,115-2019-2020-Q1-08107,BUILDING OWNERS AND MANAGERS ASSOCIATION OF CANADA,TORONTO | TORONTO,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",BOMA Canada Existing Building Commissioning Workshops,GC-129474S,116392,6/10/19,3/31/21,This project is to drive demand for energy efficiency and energy conservation in Canada.,The expected results are increased awareness and capacity to adopt energy efficient practices.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206644,115-2018-2019-Q4-07465,SIMON FRASER UNIVERSITY CENTRE FOR DIALOGUE,VANCOUVER | VANCOUVER,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",State-City Collaborations on Clean Energy Transformation,GC-129317S,81292,2/8/19,3/31/19,This project is to improve energy efficiency in Canada's residential sector.,The expected result is to improve energy efficiency in the residential sector.,,Natural Resources Canada | Ressources naturelles Canada
207117,115-2018-2019-Q4-08570,INTERNATIONAL ENERGY AGENCY,PARIS | PARIS,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Buildings in the Clean Energy Transition: Lessons from the Canadian Provinces,GC-129306,125000,1/31/19,3/31/20,"The objective of this Project is to develop a model that translates into a tool for emerging economies to use to project the impact of various building sector policy and regulations and codes across different climatic regions on energy demand and GHG emission trends. Technical insights, inferred from the modelling exercises, will be valuable in discussions around various buildings sector strategies and initiatives, such as the Clean Energy Ministerial (CEM) and Mission Innovation (MI) platforms.  Results of this Project will be able to be showcased during Canada's hosting of CEM and MI over 2019.",Analysis of the different Canadian provincial building sector regulations / policies and their impacts on changes in energy demand and greenhouse gas (GHG) emissions in buildings. This will then lead to the development of tools for emerging economies to be able to assess the effectiveness of policies and regulations to curb energy demand and the environmental footprint of the building sector.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206280,115-2018-2019-Q3-07180,CONSORTIUM FOR ENERGY EFFICIENCY INC,BOSTON | BOSTON,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Advancement of energy efficiency collaboration,EAE2357,134300,10/18/18,3/31/19,"The purpose of this agreement is to improve energy efficiency in Canada related to the industrial, residential and commercial/institutional building sectors.",The expected results are increased awareness and capacity to adopt energy efficient practices.,,Natural Resources Canada | Ressources naturelles Canada
206279,115-2018-2019-Q3-07189,RENSSELAER POLYTECHNIC INSTITUTE RESEARCH ADMINISTRATION AND FINANCE,TROY | TROY,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Horticulture Online Calculator,EAE2356,84080,11/15/18,3/31/20,The purpose of this agreement is to develop a web-based horticultural luminaire performance calculator with accompanying best-practice guidelines that will help property owners and operators make informed purchase decisions and optimize their lighting systems for energy efficiency.,The expected results are increased awareness and capacity to adopt energy efficient practices.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206266,115-2018-2019-Q3-07159,VANCOUVER REGIONAL CONSTRUCTION ASSOCIATION,VANCOUVER | VANCOUVER,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Energy Use Intensity in Low Energy and Near Zero Emissions High Rise Developments in Canada,GC-129177S,45000,10/15/18,3/31/19,The purpose of this agreement is explore energy use issues in high-rise buildings designed to a low energy standard.,The expected results are increased awareness and capacity to adopt energy efficient practices.,,Natural Resources Canada | Ressources naturelles Canada
206265,115-2018-2019-Q3-07103,CSA GROUP,TORONTO | TORONTO,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Development of CSA Energy Performance Standards (Retro-Commissioning and Thermal Bridging),GC-129176S,198000,11/29/18,3/31/21,The purpose of this agreement is to support the development of two new energy performance standards: Retro-Commissioning of Existing Part 3 (commercial and institutional) Buildings and Thermal Bridging Methodology.,The expected results are increased awareness and capacity to adopt energy efficient practices.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206264,115-2018-2019-Q3-07245,KRUGER TROIS-RIVIERES S.E.C,TROIS-RIVIÈRES | TROIS-RIVIÈRES,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",PROCESS INTEGRATION STUDY AT KRUGER,18-06-EG-PI,40000,10/19/18,3/29/19,"The purpose of the agreement is to support the implementation of a process integration study at the facility in Trois-Rivières, Quebec to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,,Natural Resources Canada | Ressources naturelles Canada
206263,115-2018-2019-Q3-07191,CEPSA CHIMIE BECANCOUR,BÉCANCOUR | BÉCANCOUR,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",PROCESS INTEGRATION STUDY AT CEPSA,18-08-EG-PI,40000,10/19/18,3/29/19,"The purpose of the agreement is to support the implementation of a process integration study at the facility in Bécancour, Quebec to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,,Natural Resources Canada | Ressources naturelles Canada
206205,115-2018-2019-Q3-07178,RENSSELAER POLYTECHNIC INSTITUTE RESEARCH ADMINISTRATION AND FINANCE,TROY | TROY,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Lighting metrics for safety perception in parking lots,EAE2358,79150,11/15/18,3/31/20,"The purpose of this agreement is validate a model that correlates a parking lot occupant's perception of safety to lighting brightness and uniformity, and to develop best-practice guidelines that will help property owners and operators make informed purchase decisions and optimise their lighting systems for energy efficiency.",The expected results are reduced greenhouse gas emissions and increased energy savings for Canadians.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206255,115-2018-2019-Q3-07215,PEMBINA INSTITUTE FOR APPROPRIATE DEVELOPMENT,CALGARY | CALGARY,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Readying Municipalities and the Market for Deep Resiliency Retrofits of Multi-Family Rentals,GC-129211S,400000,11/15/18,10/31/20,The purpose of this agreement is to build capacity within five to eight municipalities to create favourable conditions for market transformation for deep resiliency retrofits.,"The expected results are improved energy performance in new and existing commercial and residential buildings across Canada, including in northern and remote communities.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206256,115-2018-2019-Q3-07317,GREEN ECONOMY CANADA,TORONTO | TORONTO,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Building Energy Efficiency & the Low-Carbon Economy - Scaling Green Economy Hubs Across Canada,GC-129212S,256250,10/24/18,3/31/20,"The purpose of this agreement is to enhance energy efficiency and increase GHG reductions within the industrial, commercial, and institutional sector in three new communities across Canada, by scaling Green Economy Canada's Green Economy Hubs.","The expected results are improved energy performance in new and existing commercial and residential buildings across Canada, including in northern and remote communities.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206254,115-2018-2019-Q3-07259,CANADA GREEN BUILDING COUNCIL,OTTAWA | OTTAWA,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",GC-129231S,GC-129231S,245502,12/6/18,12/31/19,"The purpose of this agreement is to support a pilot project that applies a standardized approach to developing, validating and evaluating energy efficiency projects that will help build investor confidence in Canada's commercial buildings retrofit market.",The expected results are increased awareness and capacity to adopt energy efficient practices.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206261,115-2018-2019-Q3-07170,ARAUCO ST. STEPHEN,ST STEPHEN | ST STEPHEN,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",ISO 50001 at Arauco St. Stephen,18-09-EG-ISO,40000,10/19/18,3/29/19,"The purpose of the agreement is to support the implementation of energy management systems and processes at the facility in St. Stephen, New Brunswick to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,,Natural Resources Canada | Ressources naturelles Canada
206262,115-2018-2019-Q3-07195,TECHNOCELL INC,DRUMMONDVILLE | DRUMMONDVILLE,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",PROCESS INTEGRATION STUDY AT TECHNOCELL,18-07-EG-PI,40000,10/16/18,3/29/19,"The purpose of the agreement is to support the implementation of a process integration study at the facility in Drummondville, Quebec to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,,Natural Resources Canada | Ressources naturelles Canada
206260,115-2018-2019-Q3-07135,KWADACHA FIRST NATION,PRINCE GEORGE | PRINCE GEORGE,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",18-01-DA-ISO,18-01-DA-ISO,62250,2/6/18,1/15/19,"The purpose of this agreement is to support the implementation of energy management systems and processes at the facility in Fort Ware, British Columbia to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,Amendment: Duration of agreement / Award previously disclosed for the 4th Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206259,115-2018-2019-Q3-07316,YUNESIT'IN GOVERNMENT,HANCEVILLE | HANCEVILLE,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",ISO 50001 ENERGY MANAGEMENT SYSTEM - Yunesit'in Government,18-B-02-DK-I,41500,12/20/18,4/30/19,"The purpose of the agreement is to support the implementation of energy management systems and processes at the facility in Hanceville, British Columbia to reduce energy costs and improve energy performance.","The expected results are improved energy performance in new and existing commercial and residential buildings across Canada, including in northern and remote communities.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206204,115-2018-2019-Q3-07169,KRONOS CANADA INC,VARENNES | VARENNES,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",PROCESS INTEGRATION STUDY AT KRONOS,18-05-EG-PI,40000,10/15/18,3/29/19,"The purpose of this agreement is to support the implementation of a process integration study at the facility in Varennes, Quebec to reduce energy costs and improve energy performance.",The expected results are accelerated adoption of energy management practices in the industrial sector.,,Natural Resources Canada | Ressources naturelles Canada
206257,115-2018-2019-Q3-07244,LIGHTSPARK SOFTWARE INC,VANCOUVER | VANCOUVER,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Better Data to make Energy Efficiency Easier,GC-129219S,160000,11/19/18,3/31/19,"This project is to improve energy efficiency in Canada related to the industrial, residential and commercial/institutional building sectors.",The expected results are increased awareness and capacity to adopt energy efficient practices.,,Natural Resources Canada | Ressources naturelles Canada
206258,115-2018-2019-Q3-07242,UNIVERSITY OF BRITISH COLUMBIA RESEARCH & TRUST ACCOUNTING,VANCOUVER | VANCOUVER,Contributions in support of Energy Efficiency,"The objective is to improve energy efficiency in Canada. Canadian energy users in the industrial, residential, commercial/institutional, and transportation sectors must have access to the information and qualified expertise required to make informed choices on energy consumption in the marketplace. Across all of these sectors, products that use energy and affect energy consumption will be a specific focus.",Bundling Home Energy Efficiency and Supply Interventions in Vancouver Neighbourhoods,GC-129223S,62000,11/20/18,3/31/19,The purpose of this agreement is to research and test bundling of residential energy efficiency services and retrofits in the City of Vancouver in an effort to increase retrofit access and uptake among homeowners and reduce home energy consumption.,The expected results are increased awareness and capacity to adopt energy efficient practices.,,Natural Resources Canada | Ressources naturelles Canada
206812,115-2019-2020-Q1-08052,TSLEIL-WAUTUTH NATION,NORTH VANCOUVER | NORTH VANCOUVER,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,GC-129464S,GC-129464S,2552,5/24/19,10/31/19,"The objective of this Project is to advance Indigenous issues and priorities in environment, safety and/or socioeconomic imperatives, consistent with the Terms of Reference of the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project.","The expected result is incorporation of scientific, local/traditional, and other relevant knowledge into advice (e.g. identification of important cultural and sacred sites).",,Natural Resources Canada | Ressources naturelles Canada
206901,115-2019-2020-Q1-08078,ENOCH CREE NATION,ENOCH | ENOCH,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,GC-129462S,GC-129462S,66177,6/3/19,7/31/19,"The objective of this Project is to advance Indigenous issues and priorities in environment, safety and/or socioeconomic imperatives, consistent with the Terms of Reference of the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project.","The expected result is interested Indigenous groups engaged on pipeline safety and emergency planning, preparedness, response, and recovery.",,Natural Resources Canada | Ressources naturelles Canada
206811,115-2019-2020-Q1-07947,MUSQUEAM INDIAN BAND,VANCOUVER | VANCOUVER,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,GC-129044S,GC-129044S,203500,3/12/18,4/30/20,The purpose of this agreement is to retain capacity for environmental management and emergency response.,,Amendment: Description / Duration of agreement / Award previously disclosed for the 4th Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206631,115-2018-2019-Q4-07675,LOWER FRASER FISHERIES ALLIANCE SOCIETY,ABBOTSFORD | ABBOTSFORD,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),"The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of three major energy infrastructure projects: TMX, Line 3, and PNW LNG.",GC-129124S,GC-129124S,25274,6/13/18,4/30/19,The purpose of this agreement is to review monitoring plans for spawning deterrent mats and third-party validation monitoring of watercourse crossings.,The expected result is interested Indigenous groups engaged on monitoring.,Amendment: Description / Duration of agreement / Award previously disclosed for the 1st Quarter of 2018-2019.,Natural Resources Canada | Ressources naturelles Canada
206334,115-2017-2018-Q4-06980,PEGUIS FIRST NATION,PEGUIS | PEGUIS,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),"The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of three major energy infrastructure projects: TMX, Line 3, and PNW LNG.",GC-128965S,GC-128965S,443100,1/22/18,9/30/19,The purpose of this agreement is to support the participation of the three Manitoba First Nation members on the Indigenous Advisory and Monitoring Committee for the Line 3 Replacement Program.  L'objectif de cette entente est d'offrir du financement aux trois membres des Premières Nations du Manitoba dans le but d'appuyer leur participation au Comité consultatif et de surveillance autochtone du Programme de remplacement de la canalisation 3,,Amendment: Description / Value / Award previously disclosed for the 4th Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206488,115-2018-2019-Q4-07901,LAC STE ANNE METIS COMMUNITY ASSOCIATION,STONY PLAIN | STONY PLAIN,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,GC-129228S,GC-129228S,190975,3/27/19,3/31/20,The purpose of this agreement is to enhance the community economic development capacity of the Lac Ste. Anne Métis community.,"The expected result is interested Indigenous groups engaged on pipeline safety and emergency planning, preparedness, response, and recovery.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206335,115-2017-2018-Q4-07210,PAUL FIRST NATION INDUSTRY RELATIONS CORPORATION,DUFFIELD | DUFFIELD,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),"The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of three major energy infrastructure projects: TMX, Line 3, and PNW LNG.",IAMC-TMX Indigenous Monitors Pilot Project in Alberta,GC-128975S,914980,2/27/18,12/31/18,The purpose of this agreement is to development and implement an Indigenous monitoring pilot program for spreads 1 and 2 of the Trans Mountain Expansion Project in Alberta.   L'objectif de cette entente est d'élaborer et de mettre en  uvre un programme pilote de surveillance autochtone pour les tronçons 1 et 2 du projet d'expansion du réseau de TransMountain en Alberta.,The expected result is interested Indigenous groups engaged on monitoring.,Amendment: Description / Duration of agreement / Award previously disclosed for the 4th Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206946,115-2019-2020-Q2-08483,THE MÉTIS NATION OF ALBERTA LOCAL COUNCIL #55 GUNN,STONY PLAIN | STONY PLAIN,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,Capacity funding to support Indigenous participation on the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project,GC-128912S,174700,10/16/17,11/30/19,The purpose of this agreement is to support the participation of Indigenous groups on the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project.,"The expected result is incorporation of scientific, local/traditional, and other relevant knowledge into advice (e.g. identification of important cultural and sacred sites).",Amendment: Duration of agreement / Value / Award previously disclosed for the 3rd Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206945,115-2019-2020-Q2-08455,STO:LO TRIBAL COUNCIL,AGASSIZ | AGASSIZ,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,Capacity funding to support Indigenous participation on the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project,GC-128936S,1128875,1/18/18,11/30/19,The objective of this Project is to support the participation of Indigenous groups on the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project.,"The expected result is incorporation of scientific, local/traditional, and other relevant knowledge into advice (e.g. identification of important cultural and sacred sites).",Amendment: Description / Outcomes/Results / Duration of agreement / Value / Award previously disclosed for the 4th Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206943,115-2019-2020-Q2-08540,LOWER NICOLA INDIAN BAND,MERRITT | MERRITT,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,Enhance socio-economic capacity by providing access to training opportunities,GC-129188S,160492,10/16/18,9/30/19,The purpose of this agreement is to enhance socio-economic capacity by providing access to training opportunities.,The expected result is interested Indigenous groups engaged on monitoring.,Amendment: Duration of agreement / Award previously disclosed for the 3rd Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206809,115-2019-2020-Q1-08034,BC METIS FEDERATION SOCIETY,VANCOUVER | VANCOUVER,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of major energy infrastructure projects.,GC-129458S,GC-129458S,140690,5/3/19,7/31/19,"The objective of this Project is to advance Indigenous issues and priorities in environment, safety and/or socioeconomic imperatives, consistent with the Terms of Reference of the Indigenous Advisory and Monitoring Committee for the Trans Mountain Expansion Project.","The expected result is interested Indigenous groups engaged on pipeline safety and emergency planning, preparedness, response, and recovery.",,Natural Resources Canada | Ressources naturelles Canada
206302,115-2018-2019-Q2-07544,CENTRAL URBAN METIS FEDERATION INC,SASKATOON | SASKATOON,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects (Committees),"The purpose of these Terms and Conditions is to support active and meaningful Indigenous engagement over the full lifecycle of three major energy infrastructure projects: TMX, Line 3, and PNW LNG.",GC-129024S,GC-129024S,27490,3/12/18,5/31/18,The purpose of this agreement is to complete a Traditional Land Use study.,,Amendment: Value / Award previously disclosed for the 4th Quarter of 2017-2018.,Natural Resources Canada | Ressources naturelles Canada
