recipient_city,year,agreement_value
Elmsdale,2019,25116
Elmvale,2018,30205
Elmvale,2019,20160
Elnora,2018,1632
Elnora,2019,1800
Elora,2010,29872
Elora,2011,39494
Elora,2018,79299
Elphinstone,2018,9303
Elphinstone,2019,3686
Elrose,2018,4363
Elrose,2019,12322
Elsipogtog,2009,67999
Elsipogtog,2010,68442
Elsipogtog,2013,62505
Elsipogtog First Nation,2018,311350
Elsipogtog First Nation,2019,6677
Embro,2018,1172245
"Embro, Ontario",2017,119035
Embrun,2015,45519
Embrun,2018,22714
Embrun,2019,12384
Emerald,2018,7732
Emerald,2019,8208
Emerald Park,2018,2467
Emerald Park,2019,4646
Emerson,2018,13309
Emerson,2019,27295
Emeryville,2018,30375
Emo,2014,31342
Emo,2018,30414
Emo,2019,19980
Empress,2019,4200
Emsdale,2010,50000
Emsdale,2015,30500
Enchant,2018,13946
Enchant,2019,17272
Endeavour,2018,1316
Endeavour,2019,1328
Enderby,2008,45221
Enderby,2015,56325
Enderby,2018,51207
Enderby,2019,51952
Enfield,2018,38142
Enfield,2019,53218
Englee,2018,6567
Englee,2019,7478
Englehart,2011,64184
Englehart,2018,3360
Englington,2018,2776
English Harbour East,2018,5972
English Harbour East,2019,6110
English Harbour West,2006,31640
English Harbour West,2008,29936
English Harbour West,2018,20897
English Harbour West,2019,22755
Englishtown,2018,23714
Englishtown,2019,25707
Enilda,2018,7418
Enoch,2010,8886865
Enoch,2019,238340
Enterprise,2019,39450
Entrelacs,2018,4682
Entrelacs,2019,10330
Entwistle,2019,4778
Erickson,2018,1340
Erickson,2019,26591
Eriksdale,2015,28900
Eriksdale,2018,11983
Eriksdale,2019,22116
"Eriksdale, Manitoba",2016,220045
"Eriksdale, Manitoba",2017,675509
Erin,2018,17674
Erin,2019,71070
Errington,2012,27300
Errington,2018,13802
Errington,2019,8822
Escuminac,2018,5021
Escuminac,2019,7025
Esgenoôpetitj First Nation,2018,3765
Eskasoni,2012,158854
Eskasoni,2018,13990
Eskasoni,2019,40939
Espanola,2015,45500
Espanola,2018,8400
Espanola,2019,25000
"Espanola, Ontario",2018,26132
Esprit-Saint,2018,9058
Esprit-Saint,2019,14798
Esquimalt,2018,9116
Essex,2013,596405
Essex,2016,56953
Essex,2018,201643
Essex,2019,100000
"Essex, Ontario",2017,78326
Esterhazy,2018,17933
Esterhazy,2019,36142
Estevan,2007,49903
Estevan,2008,32191
Estevan,2018,31755
Estevan,2019,30845
Eston,2018,2632
Eston,2019,5817
Estérel,2018,1260
Estérel,2019,3500
Etang-du-Nord,2007,75406
Ethelbert,2018,3666
Ethelbert,2019,3159
Etobicoke,2011,29084
Etobicoke,2014,831752
Etobicoke,2015,431596
Etobicoke,2016,386443
Etobicoke,2017,42283
Etobicoke,2018,681559
Etobicoke,2019,355761
"Etobicoke, Ontario",2017,390341
Etzikom,2019,9555
Evansburg,2007,52436
Evansburg,2009,59584
Evansburg,2010,46840
Evansburg,2011,51954
Evansburg,2012,52602
Evansburg,2013,59879
Evansburg,2014,69643
Evansburg,2015,77582
Evansburg,2016,41355
Evansburg,2018,11128
Evansburg,2019,78311
"Evansburg, Alberta",2017,74841
Evansville,2018,1680
Everett,2018,1680
Exeter,2012,50000
Exeter,2018,17237
Exeter,2019,0
Exmoor,2018,3514
Exshaw,2018,1632
Exshaw,2019,2100
FLIN FLON,2019,9540
FOAM LAKE,2019,21678
FORT LANGLEY,2019,3781
FORT MCMURRAY,2019,38377
FORT SASKATCHEWAN,2019,12600
FORT ST JAMES,2019,3781
FORT ST JOHN,2019,13233
FORTIERVILLE,2018,5764
FREDERICTON,2019,3830
Fabre,2018,1260
Fabreville-Laval,2019,6000
Fairbanks,2018,6096
Fairhaven,2018,3514
Fairhaven,2019,3596
Fairisle,2018,3514
Fairisle,2019,5393
Fairmont Hot Springs,2018,4556
Fairmont Hot Springs,2019,6648
Fairview,2018,47215
Fairview,2019,126957
Falcon Beach,2018,1842
Falcon Lake,2019,1875
Falconbridge,2018,1680
Falher,2008,50000
Falher,2018,58603
Falher,2019,58687
Fall River,2018,3630
Fall River,2019,18220
Fallis,2018,14836
Falmouth,2018,14267
Falmouth,2019,17079
Fanny Bay,2018,1520
Fanny Bay,2019,22950
Farnham,2006,132592
Farnham,2013,87990
Farnham,2015,123511
Farnham,2018,15308
Farnham,2019,27882
"Farnham, Quebec|Farnham, Québec",2017,633964
Faro,2018,2074
Faro,2019,25496
Farrellton,2019,24774
Fassett,2018,1440
Fassett,2019,3000
Fatima,2014,46177
Fatima,2018,16881
Fatima,2019,147196
Fauquier,2018,4200
Faust,2018,9792
Faust,2019,31770
Fenelon Falls,2018,33689
Fenelon Falls,2019,50000
Fenwick,2018,3360
Fergus,2018,60178
Ferintosh,2009,42336
Ferintosh,2010,126927
Ferintosh,2011,26752
Ferintosh,2014,26017
Ferintosh,2016,52077
Ferintosh,2019,46161
"Ferintosh, Alberta",2017,66616
Ferland-et-Boilleau,2018,2160
Ferland-et-Boilleau,2019,7876
Ferme-Neuve,2018,20040
Ferme-Neuve,2019,55206
Fermont,2018,14820
Fermont,2019,30032
Fernie,2006,35000
Fernie,2012,50000
Fernie,2015,100000
Fernie,2018,33958
Fernie,2019,66775
Ferryland,2009,55673
Ferryland,2010,31106
Ferryland,2011,29640
Ferryland,2012,26928
Ferryland,2013,26949
Ferryland,2014,26947
Ferryland,2015,32217
Ferryland,2016,39064
Ferryland,2018,92432
Ferryland,2019,89577
"Ferryland, Newfoundland and Labrador|Ferryland, Terre-Neuve-et-Labrador",2017,43212
Feversham,2018,3797
Field,2018,3036
Field,2019,78628
Fillmore,2018,2631
Fillmore,2019,1549
Finch,2016,135845
Finch,2018,1680
Fingal,2011,63506
Fingal,2015,50000
Fingal,2016,31500
Fingal,2018,45360
"Fingal, Ontario",2017,81920
Fisher Branch,2018,3101
Fisher Branch,2019,3686
Fitzroy Harbour,2011,75000
Fitzroy Harbour,2018,13877
Flat Bay,2011,49522
Flat Bay,2012,49968
Flat Bay,2014,215489
Flat Bay,2018,3048
Flat Bay,2019,38819
Flatrock,2018,25224
Flatrock,2019,66677
Flesherton,2006,33604
Flesherton,2007,47007
Flesherton,2008,44249
Flesherton,2009,49289
Flesherton,2010,45274
Flesherton,2011,98580
Flesherton,2012,48518
Flesherton,2013,47261
Flesherton,2015,108488
Flesherton,2018,432502
"Flesherton, Ontario",2016,120182
Fleur de Lys,2018,20183
Fleur de Lys,2019,22562
Flin Flon,2006,29150
Flin Flon,2007,28408
Flin Flon,2009,139447
Flin Flon,2010,131687
Flin Flon,2011,73467
Flin Flon,2012,85531
Flin Flon,2018,40002
Flin Flon,2019,89076
Florence,2018,3682
Florenceville-Bristol,2018,52746
Florenceville-Bristol,2019,136120
Flower's Cove,2018,20527
Flower's Cove,2019,20007
Flowers Cove,2018,1005
Foam Lake,2013,50000
Foam Lake,2018,20565
Foam Lake,2019,94723
Fogo,2018,31857
Fogo,2019,39723
Fogo Island,2018,25327
Fogo Island,2019,33545
Fogo Island ,2018,9110
Fogo Island Central,2007,175043
Foleyet,2007,39588
Foleyet,2018,3797
Fond du Lac,2018,6095
Fonthill,2009,43646
Fonthill,2011,31585
Fonthill,2018,10517
Foothills,2018,32049
Foothills,2019,110611
Foremost,2018,24350
Foremost,2019,26236
Forest,2018,12197
Forest,2019,25000
Forest Glade,2018,3436
Forest Glade,2019,3095
Forest Glen,2019,24150
Forest Grove,2016,27630
"Forest, Ontario",2017,50000
Forestburg,2018,13956
Forestburg,2019,47800
Foresters Falls,2018,8106
Forestfield,2019,24000
Forestville,2008,30480
Forestville,2018,32675
Forestville,2019,64579
Forget,2018,9140
Forget,2019,28160
Formosa,2018,17674
Formosa,2019,7840
Fort Albany,2018,59799
"Fort Albany, Ontario",2017,37100
Fort Alexander,2016,33744
Fort Alexander,2018,34111
"Fort Alexander, Manitoba",2017,33639
Fort Augustus,2018,3608
Fort Augustus,2019,3830
Fort Chipewyan,2018,18547
Fort Chipewyan,2019,4777
"Fort Chipewyan, Alberta",2017,54900
"Fort Chipewyan, Alberta",2018,2373927
Fort Erie,2007,107340
Fort Erie,2011,54759
Fort Erie,2013,30368
Fort Erie,2018,78863
Fort Erie,2019,16692
"Fort Erie, Ontario",2017,66183
"Fort Erie, Ontario",2018,50000
Fort Frances,2006,122772
Fort Frances,2009,85519
Fort Frances,2011,173410
Fort Frances,2014,143739
Fort Frances,2016,64077
Fort Frances,2018,172815
Fort Frances,2019,69605
"Fort Frances, Ontario",2017,1449564
"Fort Frances, Ontario",2018,3655195
Fort Fraser,2018,6900
Fort Good Hope,2018,2827
Fort Good Hope,2019,25000
"Fort Good Hope, Northwest Territories|Fort Good Hope, Territoires du Nord-Ouest",2017,98866
Fort Langley,2018,51212
Fort Langley,2019,33596
Fort MacKay,2018,7419
Fort MacLeod,2019,4368
Fort Macleod,2009,27440
Fort Macleod,2010,55734
Fort Macleod,2011,31757
Fort Macleod,2012,32791
Fort Macleod,2013,36554
Fort Macleod,2014,73228
Fort Macleod,2015,38241
Fort Macleod,2016,31240
Fort Macleod,2018,53858
Fort Macleod,2019,77174
"Fort Macleod, Alberta",2017,45530
"Fort McKay, AB",2019,9554
Fort McMurray,2006,53840
Fort McMurray,2007,110000
Fort McMurray,2008,27504
Fort McMurray,2009,40475
Fort McMurray,2010,5224366
Fort McMurray,2011,107638
Fort McMurray,2012,44287
Fort McMurray,2013,49032
Fort McMurray,2014,2058349
Fort McMurray,2015,54775
Fort McMurray,2016,500456
Fort McMurray,2018,352414
Fort McMurray,2019,4501163
"Fort McMurray, Alberta",2017,564954
"Fort McMurray, Alberta",2018,50000
Fort McPherson,2019,217978
Fort Mcmurray,2018,4896
Fort Nelson,2015,44720
Fort Nelson,2018,50722
Fort Nelson,2019,126735
Fort Providence,2018,1212
Fort Providence,2019,19517
Fort Qu'Appelle,2009,50000
Fort Qu'Appelle,2010,41846
Fort Qu'Appelle,2011,75000
Fort Qu'Appelle,2012,91225
Fort Qu'Appelle,2015,50000
Fort Qu'Appelle,2018,25760
Fort Qu'Appelle,2019,80852
Fort Resolution,2010,6400764
Fort Resolution,2018,16082
Fort Resolution,2019,19291
Fort Saint James,2018,3036
Fort Saskatchewan,2006,118569
Fort Saskatchewan,2007,570003
Fort Saskatchewan,2008,30534
Fort Saskatchewan,2009,30690
Fort Saskatchewan,2012,88400
Fort Saskatchewan,2015,27344
Fort Saskatchewan,2018,85161
Fort Saskatchewan,2019,121044
"Fort Saskatchewan, Alberta",2017,26819
Fort Severn,2018,37660
Fort Severn First Nation,2019,307548
"Fort Severn, Ontario",2017,247791
Fort Simpson,2006,105583
Fort Simpson,2009,2384200
Fort Simpson,2010,4811926
Fort Simpson,2018,21483
Fort Simpson,2019,51545
Fort Smith,2006,1078221
Fort Smith,2007,336121
Fort Smith,2008,1147265
Fort Smith,2009,620435
Fort Smith,2010,4690804
Fort Smith,2013,238400
Fort Smith,2018,14357
Fort Smith,2019,1039807
Fort St James,2010,58190
Fort St James,2012,66494
Fort St John,2019,50460
Fort St. James,2009,44641
Fort St. James,2018,32437
Fort St. James,2019,72388
Fort St. John,2007,591993
Fort St. John,2009,2392227
Fort St. John,2010,7863427
Fort St. John,2011,42800
Fort St. John,2013,5070580
Fort St. John,2018,67214
Fort St. John,2019,70212
Fort Steele,2019,7064
Fort Vermilion,2018,29674
Fort Vermilion,2019,32105
Fort Vermillion,2018,1632
Fort William First Nation,2015,165393
Fort William First Nation,2016,33816
Fort William First Nation,2018,45564
Fort William First Nation,2019,318145
"Fort William First Nation, Ontario",2017,2564074
Fort saskatchewan,2019,4200
Fort-Coulonge,2018,26145
Fort-Coulonge,2019,50378
Forteau,2018,30820
Forteau,2019,33087
Fortierville,2018,7873
Fortierville,2019,80588
Fortmcmurray,2019,4200
Fortune,2018,39753
Fortune,2019,36605
Fortune Bridge,2019,1472
Fossambault-sur-le-Lac,2018,10960
Fossambault-sur-le-Lac,2019,10830
Fosston,2011,38393
Foster,2019,15934
Four Falls,2018,1802
Fox Creek,2018,3264
Fox Creek,2019,2100
Fox Harbour,2019,6238
Fox Valley,2013,49965
Fox Valley,2018,2631
Fox Valley,2019,3097
Foxwarren,2018,2676
Foxwarren,2019,3178
Frampton,2018,8542
Frampton,2019,81700
Francis,2018,1754
Francis,2019,1549
Franey Corner,2018,13744
Franey Corner,2019,14445
Frankford,2009,46000
Frankford,2018,18111
Frankford,2019,15925
Franklin,2018,1080
Franklin,2019,9000
Franquelin,2018,24291
Franquelin,2019,23902
Fraser Lake,2018,26640
Fraser Lake,2019,71324
Fraserwood,2018,1340
Fraserwood,2019,1591
Frederiction,2013,40298
Fredericton,2006,1049542
Fredericton,2007,9423611
Fredericton,2008,1836936
Fredericton,2009,5202321
Fredericton,2010,12198665
Fredericton,2011,5490973
Fredericton,2012,1262357
Fredericton,2013,3863696
Fredericton,2014,16279871
Fredericton,2015,249415
Fredericton,2016,204789
Fredericton,2017,3846756
Fredericton,2018,4196610
Fredericton,2019,11810884
Fredericton Junction,2018,30686
Fredericton Junction,2019,37325
"Fredericton Junction, New Brunswick|Fredericton Junction, Nouveau-Brunswick",2018,42234
"Fredericton, New Brunswick|Fredericton, Nouveau-Brunswick",2017,6879553
Freeland,2019,1472
Freeport,2006,47941
Freeport,2018,3866
Freeport,2019,29514
Frelighsburg,2018,13637
Frelighsburg,2019,38870
French Lake,2013,50000
Frenchman Butte,2019,6489
Frenchman's Cove,2018,8955
Frenchman's Cove,2019,12284
Frenchvale,2018,1650
Freshwater,2018,5224
Freshwater,2019,8402
Frog Lake,2018,11127
Frog Lake,2019,109555
Frontenac,2018,7812
Frontenac,2019,32518
Frontier,2018,4583
Frontier,2019,3591
Fruitvale,2018,9936
Fruitvale,2019,8289
Frédericton,2009,408380
Ft . McMurray,2008,401663
Ft . McMurray,2011,1204989
Ft. Saskatchewan,2019,2100
Fugèreville,2019,45960
Fullarton,2018,6720
GATINEAU,2019,0
GIBSONS,2019,20656
GLASLYN,2019,6858
GRANBY,2018,4320
GRANDE PRAIRIE,2019,2100
GRAVELBOURG,2019,1549
GROS-MORNE,2019,50000
GUELPH,2019,0
Gabarus,2019,20000
Gabriola,2018,54161
Gabriola,2019,29794
Gabriola Island,2019,28357
Gaetz Brook,2019,23932
"Gaetz Brook, Nova Scotia|Gaetz Brook, Nouvelle-Écosse",2018,26000
Gagetown,2018,21130
Gagetown,2019,37317
Gainsborough,2018,2631
Galiano,2019,3881
Galiano Isalnd,2019,7105
Galiano Island,2018,43619
Galiano Island,2019,47959
Gallichan,2018,4142
Gallichan,2019,30706
Gallivan,2018,21328
Galloway,2018,1802
Galloway,2019,1840
Gambo,2006,123384
Gambo,2009,25515
Gambo,2012,93770
Gambo,2017,16043
Gambo,2018,40710
Gambo,2019,35228
Gambo ,2018,1005
Gambo South,2007,27760
Gameti,2018,11314
Gananoque,2007,136590
Gananoque,2008,91342
Gananoque,2009,40000
Gananoque,2018,82289
"Gananoque, Ontario",2017,67044
"Gananoque, Ontario",2018,49500
Gander,2006,48226
Gander,2007,297801
Gander,2008,168796
Gander,2009,94642
Gander,2012,46595
Gander,2013,29843
Gander,2015,25289
Gander,2016,28785
Gander,2018,261042
Gander,2019,363842
Gander Bay,2006,147977
Gander Bay,2018,6976
"Gander, Newfoundland and Labrador|Gander, Terre-Neuve-et-Labrador",2017,29371
Garden Bay,2018,3882
Garden Hill,2019,14744
Garden River,2007,134835
Garden River,2008,27095
Garden River,2016,53400
Garden River,2018,119751
Garden River,2019,25000
Garden River First Nation,2013,43971
"Garden River, Ontario",2017,40579
Garden Village,2011,40890
Garden Village,2014,25618
Garden Village,2016,56307
Garden Village,2018,39864
"Garden Village, Ontario",2017,40511
Garden of Eden,2019,16647
"Garden of Eden, New Brunswick|Garden of Eden, Nouveau-Brunswick",2018,46593
Gardenton,2018,3618
Gardenton,2019,3178
Garibaldi,2019,8822
Garibaldi Highlands,2018,17597
Garibaldi Highlands,2019,26618
Garnish,2018,6396
Garnish,2019,7634
Garson,2007,28536
Garson,2018,36960
Gaspereau,2018,2640
Gaspereau,2019,10726
Gaspé,2006,199777
Gaspé,2007,175681
Gaspé,2008,52035
Gaspé,2009,158159
Gaspé,2011,81330
Gaspé,2012,244201
Gaspé,2014,92106
Gaspé,2015,65974
Gaspé,2018,182683
Gaspé,2019,547640
"Gaspé, Quebec|Gaspé, Québec",2017,164281
Gatineau,2006,672048
Gatineau,2007,1268204
Gatineau,2008,831206
Gatineau,2009,685211
Gatineau,2010,1118755
Gatineau,2011,1230529
Gatineau,2012,1997876
Gatineau,2013,725423
Gatineau,2014,937517
Gatineau,2015,688114
Gatineau,2016,5492642
Gatineau,2018,1979545
Gatineau,2019,109394643
"Gatineau, Quebec|Gatineau, Québec",2017,1025598
"Gatineau, Quebec|Gatineau, Québec",2018,582034
Gautois,2018,5469
Geary,2018,4016
Geary,2019,3852
Geneva,2006,348007
Geneva,2011,1857000
Geneva,2012,800000
Geneva,2013,1995037
Geneva,2016,501898
Geneva,2019,598582
"Geneva, Switzerland|Genève, Suisse",2017,1000000
Genève,2010,493000
Genève,2019,492163
Georges River,2018,4976
Georges River,2019,11237
Georgetown,2009,45858
Georgetown,2015,39177
Georgetown,2016,35595
Georgetown,2018,146217
Georgetown,2019,18822
"Georgetown, Ontario",2017,32466
Georgeville,2018,9881
Georgian Bluffs,2018,6720
Gerald,2018,1316
Gerald,2019,1549
Geraldon,2018,1680
Geraldton,2007,42720
Geraldton,2008,95169
Geraldton,2011,119724
Geraldton,2012,86196
Geraldton,2013,175883
Geraldton,2014,91501
Geraldton,2016,104798
Geraldton,2018,16800
Geraldton,2019,39370
"Geraldton, Ontario",2017,647123
Gesgapegiag,2018,657150
Gesgapegiag,2019,54820
"Gesgapegiag, Quebec|Gesgapegiag, Québec",2017,50000
Gibbons,2018,27744
Gibbons,2019,41900
Gibson,2015,50000
Gibsons,2007,33336
Gibsons,2008,46929
Gibsons,2015,100000
Gibsons,2018,103081
Gibsons,2019,131161
"Gibsons, British Columbia|Gibsons, Colombie-Britannique",2016,129661
Gift Lake,2018,12982
Gift Lake,2019,16379
Gilbert Plains,2018,13744
Gilbert Plains,2019,7372
Gillam,2018,9303
Gillam,2019,15894
Gillams,2018,14927
Gillams,2019,16803
Gilmour,2018,2100
Gilmour,2019,27100
Gimli,2008,275000
Gimli,2018,37908
Gimli,2019,49638
Ginew,2018,10854
Girardville,2018,13157
Girardville,2019,25648
Girouxville,2018,1632
Girouxville,2019,2100
Gitwinksihlkw,2019,22055
Gjoa Haven,2015,34650
Gjoa Haven,2018,27745
Gjoa Haven,2019,13650
Glace Bay,2007,49364
Glace Bay,2009,175901
Glace Bay,2011,165274
Glace Bay,2014,193705
Glace Bay,2018,88980
Glace Bay,2019,103316
Gladstone,2013,25706
Gladstone,2018,5356
Gladstone,2019,89197
"Gladstone, Manitoba",2017,27250
Glaslyn,2018,6095
Glaslyn,2019,15387
Glen Ewen,2019,14364
Glen Haven,2018,25236
Glen Haven,2019,17221
Glen Levit,2018,3514
Glen Levit,2019,3596
Glen Margaret,2018,1540
Glen Sutton,2018,9180
Glenboro,2018,15995
Glenboro,2019,23199
Glenburnie,2013,50000
Glenburnie,2018,18548
Glencoe,2015,50000
Glencoe,2019,30861
Glendale,2018,3436
Glendon,2019,20969
Glenella,2018,1340
Glenella,2019,22714
Glenevis,2016,89348
Glenevis,2018,39022
Glenevis,2019,28665
"Glenevis, Alberta",2017,102007
Glenfinnan,2018,1388
Glenholme,2019,1388
Glenlea,2019,2187
Glenora,2018,6202
Glenora,2019,1364
"Glenora,",2019,3686
Glenvale,2019,1035
Glenville,2019,1619
Glenwood,2018,15846
Glenwood,2019,23245
Gloucester,2007,26217
Gloucester,2018,78808
Gloucester,2019,78860
Glovertown,2007,148412
Glovertown,2018,33912
Glovertown,2019,56323
Glovertown ,2018,1005
Glovertown South,2018,14927
Godbout,2018,6587
Godbout,2019,12968
Goderich,2010,217284
Goderich,2012,259338
Goderich,2015,93875
Goderich,2018,85385
Goderich,2019,76878
"Goderich, Ontario",2017,80000
"Goderich, Ontario",2018,30000
Godfrey,2014,49600
Godmanchester,2019,35300
Goffs,2019,1388
Gogama,2018,35426
Gold Bridge,2018,3036
Gold Bridge,2019,46218
Gold River,2018,5698
Gold River,2019,31440
Goldboro,2018,3436
Goldboro,2019,3611
Golden,2018,23328
Golden,2019,84173
Golden Lake,2018,8837
"Golden Lake, Ontario",2017,50000
Good Spirit Acres,2018,1316
Good Spirit Acres,2019,7742
Goodfish Lake,2008,122202
Goodfish Lake,2011,41704
Goodfish lake,2018,1632
Goodsoil,2018,1316
Goodsoil,2019,9078
Goodwood,2018,3360
Goose Bay,2018,47778
Goose Bay,2019,19349
Goose River,2018,1388
Goose River,2019,1717
Gooseberry Cove,2018,6604
Gooseberry Cove,2019,5348
Gore,2018,5094
Gore,2019,18298
Gore Bay,2018,36469
Gore Bay,2019,5131
"Gore Bay, Ontario",2017,49096
Gorham,2018,1680
Gorrie,2012,42233
Gorrie,2018,18917
Gorrie,2019,31959
Goshen,2018,4976
Goshen,2019,26471
Goulais River,2018,3797
Goulds,2007,30209
Goulds,2013,27339
Goulds,2015,25289
Goulds,2016,34539
Goulds,2018,102417
Goulds,2019,282241
"Goulds, Newfoundland and Labrador|Goulds, Terre-Neuve-et-Labrador",2017,35244
Govan,2018,9864
Govan,2019,12786
Govertown South,2018,1005
"Gracefeild, Quebec|Gracefeild, Québec",2018,30518
Gracefield,2018,27761
Gracefield,2019,59452
Grafton,2009,166208
Grafton,2010,50000
Grafton,2018,15120
Granby,2006,391369
Granby,2007,428296
Granby,2008,399388
Granby,2009,270660
Granby,2010,536386
Granby,2011,655854
Granby,2012,525222
Granby,2013,93503
Granby,2014,361023
Granby,2015,115720
Granby,2016,215702
Granby,2018,332720
Granby,2019,1341672
"Granby, Quebec|Granby, Québec",2016,112572
"Granby, Quebec|Granby, Québec",2017,381458
Grand Bank,2006,88923
Grand Bank,2007,37073
Grand Bank,2015,28098
Grand Bank,2016,28784
Grand Bank,2018,98259
Grand Bank,2019,88150
"Grand Bank, Newfoundland and Labrador|Grand Bank, Terre-Neuve-et-Labrador",2017,29372
Grand Barachois,2019,7778
Grand Bay East,2018,2986
Grand Bay-Westfield,2018,24069
Grand Bay-Westfield,2019,72044
Grand Bend,2013,26712
Grand Bend,2018,34037
"Grand Bend, Ontario",2017,127883
Grand Etang,2018,6872
Grand Etang,2019,7222
Grand Falls,2011,134822
Grand Falls,2018,80699
Grand Falls,2019,87611
Grand Falls - Windsor,2007,57768
Grand Falls | Grand-Sault,2018,5522
"Grand Falls, New Brunswick",2018,33970
Grand Falls-Windsor,2006,95040
Grand Falls-Windsor,2007,97783
Grand Falls-Windsor,2008,145055
Grand Falls-Windsor,2009,49885
Grand Falls-Windsor,2010,58231
Grand Falls-Windsor,2011,34593
Grand Falls-Windsor,2012,80033
Grand Falls-Windsor,2013,75614
Grand Falls-Windsor,2014,1069538
Grand Falls-Windsor,2015,25288
Grand Falls-Windsor,2016,88734
Grand Falls-Windsor,2018,206482
Grand Falls-Windsor,2019,216074
"Grand Falls-Windsor, Newfoundland and Labrador|Grand Falls-Windsor, Terre-Neuve-et-Labrador",2017,95257
Grand Falls-Winsor,2006,40400
Grand Forks,2006,160241
Grand Forks,2007,106795
Grand Forks,2008,280374
Grand Forks,2010,181541
Grand Forks,2011,93684
Grand Forks,2014,50000
Grand Forks,2018,33677
Grand Forks,2019,59184
Grand Le Pierre,2018,1005
Grand Manan,2018,51844
Grand Manan,2019,52948
"Grand Manan, New Brunswick|Grand Manan, Nouveau-Brunswick",2017,122180
Grand Marais,2019,25000
Grand Mira,2019,3611
Grand Narrows,2018,7364
Grand Narrows,2019,7740
Grand Prairie,2019,69905
Grand Pré,2019,16864
Grand Rapids,2006,49728
Grand Rapids,2019,18430
Grand Sault,2012,159175
Grand Valley,2018,16380
Grand bay Westfield,2019,1380
Grand-Barachois,2018,15729
Grand-Barachois,2019,17799
Grand-Mère,2018,3294
Grand-Mère,2019,4150
Grand-Métis,2018,20788
Grand-Métis,2019,30732
Grand-Pré,2018,16132
Grand-Remous,2018,15028
Grand-Remous,2019,34234
Grand-Saint-Esprit,2018,4941
Grand-Saint-Esprit,2019,5122
Grand-Sault,2013,143610
Grand-Sault,2018,38351
Grand-Sault,2019,13024
GrandView,2019,24824
Grande Cache,2018,13946
Grande Cache,2019,116432
Grande Pointe,2018,5685
Grande Pointe,2019,5068
Grande Prairei,2019,8400
Grande Prairie,2006,495840
Grande Prairie,2007,732385
Grande Prairie,2008,564671
Grande Prairie,2009,339482
Grande Prairie,2010,874748
Grande Prairie,2011,1040101
Grande Prairie,2012,820434
Grande Prairie,2013,157761
Grande Prairie,2014,1605783
Grande Prairie,2015,32500
Grande Prairie,2016,441734
Grande Prairie,2018,973453
Grande Prairie,2019,3671846
"Grande Prairie, Alberta",2018,122775
Grande prairie,2018,7419
Grande--Digue,2019,4109
Grande-Anse,2018,34584
Grande-Anse,2019,39665
Grande-Digue,2018,18693
Grande-Digue,2019,37003
Grande-Entrée,2018,9054
Grande-Entrée,2019,23902
Grande-Rivière,2018,9315
Grande-Rivière,2019,52382
Grande-Vallée,2018,25601
Grande-Vallée,2019,85538
Grandes-Piles,2018,15591
Grandes-Piles,2019,44230
Grandview,2018,11979
Grandview,2019,7372
"Grandview, Manitoba",2018,33000
Granisle,2011,149174
Granisle,2014,32661
Granisle,2019,25000
"Granisle, British Columbia|Granisle, Colombie-Britannique",2017,48750
"Granisle, British Columbia|Granisle, Colombie-Britannique",2018,50000
Granton,2018,1680
Granum,2019,74587
Granville Ferry,2018,1320
Grasswood,2018,18283
Grasswood,2019,17949
Grassy Narrows,2010,335400
Grassy Narrows,2018,7532
Grassy Narrows,2019,8860
"Grassy Narrows, Ontario",2016,163389
"Grassy Narrows, Ontario",2017,160131
Grates Cove,2019,1368
Gravelbourg,2009,100638
Gravelbourg,2011,75000
Gravelbourg,2018,17451
Gravelbourg,2019,42241
Gravenhurst,2009,31313
Gravenhurst,2018,32794
Gravenhurst,2019,13813
"Gravenhurst, Ontario",2017,40470
Gray Rapids,2018,4956
Gray Rapids,2019,1610
Grayson,2018,4363
Grayson,2019,5140
Great Village,2018,4950
Great Village,2019,5345
Green Island Brook,2018,2986
Green Island Cove,2018,2830
Green Island Cove,2019,3119
Green's Habour,2018,6861
Green's Harbour,2018,1005
Greenbank,2018,3360
Greenbank,2019,0
Greenfield Park,2008,36757
Greenfield Park,2018,23773
Greenfield Park,2019,54804
Greenhill Lake,2019,12327
Greens Habour,2019,8146
Greens Harbour,2019,0
Greensville,2010,46240
Greenville,2018,2946
Greenville,2019,10857
Greenwich,2018,1650
Greenwood,2007,58042
Greenwood,2018,38122
Greenwood,2019,53846
Grenfell,2018,2302
Grenfell,2019,6194
"Grenfell, Saskatchewan",2017,803161
Grenville,2018,16595
Grenville-sur-la-Rouge,2018,10548
Grenville-sur-la-Rouge,2019,99603
Griffith,2018,1680
Grimsby,2009,32500
Grimsby,2014,40000
Grimsby,2018,85786
Grimsby,2019,27600
"Grimsby, Ontario",2018,50000
Grimshaw,2007,190757
Grimshaw,2008,134707
Grimshaw,2009,71518
Grimshaw,2011,102178
Grimshaw,2012,138042
Grimshaw,2018,9792
Grimshaw,2019,4436
Grindrod,2018,1520
Grondines,2018,5765
Grondines,2019,6830
Gronlid,2018,1316
Gronlid,2019,3097
Gros-Morne,2018,5764
Gros-Morne,2019,44418
Grosse-Île,2018,4941
Grosse-Île,2019,15934
Grosses-Roches,2018,2471
Grosses-Roches,2019,11789
Grouard Alberta,2019,8400
Groves Point,2019,1734
Grunthal,2018,7362
Grunthal,2019,8116
Guatemala City,2012,94080
Guelph,2006,643812
