,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
2757,235-2018-2019-Q4-00054,Groupe Export Agroalimentaire Québec-Canada,Sainte-Julie,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Marketing activities of products ,CAP-AMPN-018,5280000,4/10/18,3/31/21,The objective of this project is to help agrifood businesses in creating opportunties for exportations. ,Increase exports for a number of small- and medium-sized businesses,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2759,235-2018-2019-Q4-00055,Pacific Sea Cucumber Harvesters Association,Vancouver,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,2018-2021 Agrimarketing Project of Pacific Sea Cucumber Harvesters Association,CAP-AMPN-022,120014,4/17/18,3/31/21,"The objective of this project is to continue to maintain the Chinese market, which is Canada’s largest importer of sea cucumbers. Activities include updating promotional material and performing market research for Canada, the United States, South Korea and Singapore in order to help develop these new and slowly emerging markets while using information on Chinese markets to continue growing effectively. In addition, the association will attend key trade shows to continue developing these markets sought.","To grow sales of sea cucumbers in China and develop new markets in the United States, South Korea and Singapore.","The amendment adds two trade shows in Canada and re-assigns funds from the China-Hong Kong market to the Canadian market, but does not change the amount of the Minister's contribution.",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2760,235-2018-2019-Q1-00001,Canadian Vintners Association,Ottawa,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Winning at Home and Abroad Amendment No. 2,CAP-AMPN-029,1500000,5/1/18,3/31/21,"The objective of this project is to increase domestic and export sales of Canadian wine through market development and increased recognition, awareness and trust in Canadian premium wines and to protect, maintain and enhance market access for Canadian wine producers.",To differentiate their products and increase sales internationally.,The amendment adds the presentation of a Wines of Canada masterclass by the British Columbia Wine institute at the Vancouver International Wine Festival to the work plan. It does not mofidy the Minister's contribution.,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2754,235-2018-2019-Q2-00001,Canadian Food Exporters Association,Toronto,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,International Marketing Strategy Implementation - Amendment 1,CAP-AMPN-003,4950000,4/1/18,3/31/21,The objective of the International Marketing Strategy Implementation project is about opening and maintaining  markets for Canadian exporters around the world. The project aims to facilitate the entry for many Small and Medium Enterprises (SMEs) and coach them to ensure their success.  To guarantee adequate Canadian participation requires overcoming a number of challenges given the limited budgets under which Canadian SMEs typically operate.,This project will help to open markets for Canadian exporters.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2762,235-2018-2019-Q1-00053,Flowers Canada Growers Inc. (FCG),Guelph,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Canadian Floriculture Market Access Development and Optimization Project,CAP-AMPN-036,446815,5/25/18,3/31/20,"The objective of the project is to increase sales  internationally and domestically by increasing awareness of the availability, wide variety and quality of Canadian floriculture products; to maintain access to US markets; and to research  floriculture marketing strategies.",To increase sales of floriculture products internationally and in Canada.,The amendment shifts money from activities in Canada to activities in the United States but does not change the amount of the Minister's contribution.,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2765,235-2018-2019-Q4-00040,Canadian Honey Council,Sherwood Park,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Increasing Canadian Beekeepers' Market Opportunities,CAP-AMPN-048,34100,11/2/18,3/31/21,"The objective of this project is to expand the markets for Canadian honey and bee products in Europe, the Middle East and China. The Canadian Honey Council will also continue to promote sales to the U.S. and domestic sales within Canada. The Canada Honey Council aims to have a trade delegation represent Canadian beekeepers at the Salon International de l'alimentation trade shows and AgriExpo.  These are the largest international trade fairs that specialize in the food industry. They are forums which bring together manufacturers, distributors and potential customers.","To increase sales of honey and bee products in Europe, the Middle East and China as well as maintain the United States market.",The amendment removes the activities intended for the Japanese market and hence decreases the amount of the Minister's conttibution.,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2767,235-2019-2020-Q2-00026,Ontario Ginseng Growers Association,Simcoe,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Canadian Ginseng Increasing International Presence and Demand,CAP-AMPN-060,727440,5/16/19,3/31/21,"The objective of this project is to actively promote and protect the brand reputation of North American ginseng, essential in establishing brand trust and recognition, and educating consumers. The project includes activities such as incoming and outgoing missions, trade shows, advertising and promotion, and market research.",To differentiate their products and increase sales internationally.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2763,235-2018-2019-Q4-00058,Producteurs et productrices acéricoles du Québec,Longueuil,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,"Projet de financement Allemagne, Royaume-Uni, Japon et Chine 2018-2021",CAP-AMPN-047,2245000,8/28/18,3/31/21,"This project aims to implement communication plans in Germany and the United Kingdom, combined with a feasibility study on e-commerce in Japan and China.",To market maple syrup in Germany and the United Kingdom and to study the feasibility of electronic trade in Japan and China.,"The amendment adds one activity in the United Kingdom in 2019-2020  and hence increases the Minister's contribution by $45,000.",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2753,235-2018-2019-Q2-00003,The Prairie Oat Growers Association,Regina,AgriMarketing Program: National Industry Association Component,AgriMarketing Program - National Industry Association component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Expand the Canadian Oat Market Amendment No. 1,CAP-AMPN-002,462000,4/1/18,3/31/21,The objective of this project is to increase demand for Canadian oats by expanding the reach and awareness of the health benefits of consuming oats in Mexico and Japan.  ,To increase sales of oats in Mexico and Japan.,"The amendment reallocates funds from some activities in China to activities in Japan and increases funding by up to $11,550 for 2019-2020",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2790,235-2019-2020-Q2-00045,Natural Life Nutrition Inc.,Burnaby,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Canadian Health Food in the Asia-Pacific,CAP-AMPS-193,44875,4/11/19,3/31/21,"The objective of this project is for Natural Life Nutrition to increase their sales in Chinese, Vietnamese, and Singaporean retailers and to further expand their presence in the South Korean market by strengthening and diversifying their partnerships.","Differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2074,235-2019-2020-Q1-00010,Muwin Estate Wines Ltd,New Ross,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Expansion of Bulwark Craft Cider Sales to Existing and New Export Markets,CAP-AMPS-075,44050,4/1/19,3/31/20,"The objective of this project is to expand Bulwark cider sales into key export markets including the United Kingdom and select countries of the European Union and Asia. Sale expansion will be achieved by attending key trade shows and meetings with buyers, as well as training servers on the company's products and hiring in-market experts to assist market, promote and reach out to media influencers.",To expand sales of the company's cider in the United Kingdom and in the European Union.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2066,235-2019-2020-Q1-00012,River Valley Specialty Farms Inc.,Bagot,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,International Sales Expansion - Hemp Foods,CAP-AMPS-152,32310,4/1/19,3/31/20,The objective of this project is for River Valley Specialty Farms Ltd. to   to increase their market presence in the United States and in France. This company promotes hemp foods.,The project aims to increase exports for this small business.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2006,235-2018-2019-Q3-00056,Whistler Water Inc. ,Burnaby,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Whistler Water US Market Expansion,CAP-AMPS-019,6813,4/12/18,8/25/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2075,235-2019-2020-Q1-00011,Victorian Epicure Inc.,Saanich,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Epicure US Expansion - Cooking Class Road Show and Pre-Launch Activities,CAP-AMPS-123,59863,10/5/18,3/31/20,"The objective of this project is to build awareness of Epicure products and its wealth creation opportunities for women through product demonstrations, training, and education on Epicure’s good-food mission.",The project aims to increase exports for this small business.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2119,235-2018-2019-Q4-00066,7503270 Canada Inc.,Longueuil,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Germany,CAP-AMPS-124,10825,10/12/18,3/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2606,235-2018-2019-Q4-00123,Trans-Herb e Inc.,St-Bruno,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Trans-Herb e Inc. Agri-Marketing Application,CAP-AMPS-120,49585,10/1/18,3/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2455,235-2018-2019-Q4-00065,7503270 Canada Inc.,Longueuil,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Spain,CAP-AMPS-056,68000,5/7/18,3/31/20,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2004,235-2018-2019-Q3-00053,The Ethical Bean Coffee Company Ltd. ,Vancouver,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,"Ethical Bean Coffee Export Growth - Trade Shows, Meetings, and Marketing",CAP-AMPS-030,25830,4/5/18,9/22/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2003,235-2018-2019-Q3-00052,Tartine Tarts Wholesale Inc.,Bumbay,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Tartine Tarts' US Market Expansion Project,CAP-AMPS-047,50000,4/20/18,3/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2002,235-2018-2019-Q3-00051,Sutherland S.A. Produce Inc.,West Kelowna,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,"Expanding International Market Share for BC Cherries, Apples & Blueberries",CAP-AMPS-069,37875,5/31/18,11/30/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2001,235-2018-2019-Q3-00050,Steeped Fine Loose Teas & Accesories Inc.,Ancaster,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Advanced Marketing & Sales Development to widen US Consultant,CAP-AMPS-054,50000,5/1/18,7/30/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1999,235-2018-2019-Q3-00045,Okanagan Crush Pad Winery Ltd.,Summerland,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Okanagan Crush Pad Winery Ltd.,CAP-AMPS-036,33812,4/30/18,3/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2005,235-2018-2019-Q3-00054,Uchucklesaht Water Ventures Inc.,Port Alberni,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Canadian Trade Mission to New Zealand,CAP-AMPS-097,10924,8/9/18,10/13/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2607,235-2018-2019-Q4-00124,Victorian Epicure Inc.,Saanich,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Epicure US Expansion - Cooking Class Road Show and Pre-Launch Activities,CAP-AMPS-123,59863,10/5/18,5/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2783,235-2019-2020-Q2-00036,5465461 Manitoba Inc.,Winnipeg,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Increase and Diversity Exports into New and Existing International Markets.,CAP-AMPS-181,50000,4/1/19,3/31/20,"The objective of this project is to continue growing the Oh Canada and Floating Leaf brands through market development activities that promote brand awareness in new and existing international markets, particularly in the United Arab Emirates, the United States, Germany, Italy, the United Kingdom and the Netherlands.","This project will help to differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2787,235-2019-2020-Q2-00041,Canada Glife Biotech Ltd.,Toronto,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Expanding Global Market for Canada Glife Biotech Ltd.,CAP-AMPS-187,23438,4/4/19,3/31/20,"The objective of this project is to build up new sales channels, expand existing market share, and sell more of the multi-vitamin supplement products in the farm-animal market in China.","This project will help to differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2786,235-2019-2020-Q2-00040,Well Told Health Inc.,Toronto,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Well Told Health US Marketing Initiative,CAP-AMPS-186,50000,4/1/19,3/31/20,The objective of this project is to increase market presence of Well Told Health in the United States by promoting their range of natural supplements by exhibiting at major industry trade shows and developing high-quality promotional content for digital advertising.,"Differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2785,235-2019-2020-Q2-00039,Compl-eat Brands Inc.,North York,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Expansion into the United States,CAP-AMPS-185,40900,4/1/19,3/31/20,The objective of this project is for Compl-eat brands to expand its footprint into the United States.,To differentiate their products and increase sales internationally.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2784,235-2019-2020-Q2-00038,Organic Ocean Seafood Inc.,Vancouver,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Expansion into New Asian Markets,CAP-AMPS-184,5976,4/1/19,4/30/19,"The objective of this project is for Organic Ocean expand it's penetration into the Asian market by expanding into Vietnam and Taiwan, which are two new markets. There will also be a focus to expand into high end retail stores in Hong Kong by doing multiple sampling events , as the majority of the current business is with the restaurants and hotels","Differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1998,235-2018-2019-Q3-00044,Nikka Traders Inc.,Vancouver,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,AgriMarketing Program 2018,CAP-AMPS-051,100000,4/27/18,7/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2782,235-2019-2020-Q2-00034,Mountain Munchies Inc.,Nelson,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Mountain Munchies Inc. SIAL Tradeshow,CAP-AMPS-177,3161,4/1/19,5/31/19,The objective of this project is for Mountain Munchies Inc to expand to new markets interprovincially and internationally by attending trade shows.,"This project will help to differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2781,235-2019-2020-Q2-00033,Seven Stones Winery Ltd.,Cawston,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Seven Stones Winery. Premium Canadian Winery ready for export,CAP-AMPS-176,2525,4/5/19,3/31/20,The objective of this project is for Seven Stones Winery to continue to seek out and build relationships with buyers and agents in England and to grow exports to the United States.,"Differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2780,235-2019-2020-Q2-00032,Corey Nutrition Company Inc.,Fredericton,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Export Market Expansion for Asia and Other,CAP-AMPS-175,27925,4/1/19,3/31/20,The objective of this project is to attend trade shows in Asia in order to raise brand awareness among professionals and key decision makers in the Asian pet food industry.,"Differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2779,235-2019-2020-Q2-00031,Gidney Fisheries Ltd.,Centreville,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,HPP Product Marketing Program,CAP-AMPS-172,100000,4/1/19,3/31/21,"The objective of this project is to market their premium value-added high-pressure-processed lobster products by attending five tradeshows per fiscal year, conducting an online advertising campaign and completing professional photography/video of their products.",To differentiate their products and increase sales internationally.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2777,235-2019-2020-Q2-00030,9022619 Canada Inc.,Mississauga,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Developing New Export Markets Through Promotional Efforts,CAP-AMPS-167,19278,4/1/19,3/31/20,"The objective of this project is for Anything Dry to develop new and existing export markets through promotional efforts including attending international trade shows, creating new sales and marketing materials, as well as modernizing the company's website and e-commerce tools.","This project will help to differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2776,235-2019-2020-Q2-00035,Quidi Vidi Brewing Company Ltd.,St John's,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,USA Export Market Development/Sales Mission,CAP-AMPS-180,4250,4/1/19,5/30/19,"The objective of this project is for Quidi Vidi Brewery to attend the Craft Brewers Conference (CBC) in Denver, Colorado to develop key relationships and partnerships which will enable export to the United States.",To differentiate their products and increase sales internationally.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2775,235-2019-2020-Q2-00029,Canadian Rangeland Bison & Elk,Rimbey,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,E.U. 100% Canadian Bison Burger (Trim) Initiative,CAP-AMPS-166,15836,1899-12-30,1899-12-30,"The objective of this project is to export bison trimmings to Switzerland, where the product is being further processed into high end (whole) European Union certified bison meat burgers and sold and distributed within Switzerland and the European Union.",Increase exports of bison in Switzerland and the European Union.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2774,235-2019-2020-Q2-00028,Wildman Protein Treats Ltd.,Stratford,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Targeted Marketing Strategy,CAP-AMPS-165,14000,4/1/19,3/31/20,"The objective of this project is to expand the USA market by conducting a digital marketing campaign.  This company produces natural, healthy food products that are nut-free, gluten-free and prebiotic, such as protein powders and protein balls.",To differentiate their products and increase sales internationally.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2788,235-2019-2020-Q2-00042,1426828 Ontario Inc.,Mississauga,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Matt & Steve's 2019 US Market Expansion Project,CAP-AMPS-188,50000,4/5/19,3/31/20,The objective of this project is for Matt & Steve’s to promote their products and boost their brand recognition to increase revenues from the United States and to increase exports to the United States by completing marketing activities with leading food retailers.,To differentiate their products and increase sales internationally.,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2773,235-2019-2020-Q2-00043,Schwartz Sausage Company Inc.,Headingley,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers.,Big Rock Sports Outdoor Expo,CAP-AMPS-189,5108,4/5/19,9/23/19,The objective of this project is for Schwartz Sausage Company to work with a distributor to expand their market share into the United States.,"Differentiate their products internationally, and expand their market. ",,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1997,235-2018-2019-Q3-00043,Natural Immix Health Inc.,Port Coquitlam,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Seoul Food and Hotel 2018,CAP-AMPS-011,13100,4/1/18,5/12/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1995,235-2018-2019-Q3-00041,Les Aliments Masone Pasta INC.,Saint-Léonard,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Project for Expansion in Mexico and Strengthening in the United States,CAP-AMPS-020,38225,4/1/18,3/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1420,235-2018-2019-Q2-00016,Vista D'oro Farms Ltd.,Langley,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Vista D'oro Export Plan 2018,CAP-AMPS-024,26088,9/18/18,11/30/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1419,235-2018-2019-Q2-00010,Eat Real Snack Food Canada Ltd.,Pitt Meadows,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Export Development Program,CAP-AMPS-012,17200,8/14/18,1/31/19,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1418,235-2018-2019-Q2-00009,Compagnie 2 Ameriks,Laval,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,USA Demos,CAP-AMPS-007,100000,7/25/18,3/31/20,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1417,235-2018-2019-Q2-00008,De Dell Seeds Inc.,Melbourne ,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,De Dell Exhibit at the Agro-Oman Agriculture - Fisheries - Food Exhibition,CAP-AMPS-023,7584,8/27/18,5/11/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
1416,235-2018-2019-Q2-00006,Bench 1775 Winery,Vancouver,AgriMarketing Program: Small and Medium-sized Enterprise (SME),AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,Bench 1775 Western Europe Market Development May to July 2018,CAP-AMPS-042,10294,8/8/18,7/5/18,AgriMarketing Program - Small and Medium-sized Enterprises component - help industry increase and diversify exports by supporting promotional activities that differentiate Canadian products and producers,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
